PUBLISHDATE,VERSION,PNODEID,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
3/8/2014,0,5021072,CongLMP,-6.29,-5.04,,-0.09,-1.49,-9.24,-12.4,-17.35,-8.33,-5.69,-0.16,-0.4,-0.35,-0.46,-0.42,-0.29,-0.19,-0.33,-0.44,-14.55,-14.84,-3.55,0.07,-0.12,0.07
3/8/2014,0,5021072,LossLMP,-3.12,-3.14,,-2.57,-2.52,-3.15,-3.07,-3.11,-2.42,-2.51,-2.45,-3.01,-2.2,-2.08,-1.99,-1.81,-1.85,-1.97,-2.09,-3.57,-3.53,-2.69,-2.27,-1.99,-1.81
3/8/2014,0,5021072,TotalLMP,42.38,44.47,,41.1,38.8,40.33,37.38,36.14,35.04,39.78,43.18,50.31,36.54,34.39,34.31,32.16,32.74,33.19,32.96,37.48,40.11,43.38,42.33,37.69,34.12
3/9/2014,0,5021072,CongLMP,-0.02,0.02,,,0.01,0.02,0.02,0.02,0.09,0.04,0.09,0.12,0.1,0.01,-0.03,0,0,0,-0.09,-0.13,-32.41,-38.41,-19.8,-0.32,-0.47
3/9/2014,0,5021072,LossLMP,-1.51,-1.4,,,-1.35,-1.37,-1.42,-1.48,-1.66,-1.7,-1.79,-1.9,-1.9,-1.87,-1.64,-1.54,-1.46,-1.31,-1.35,-1.61,-4.48,-5.37,-3.16,-2.21,-1.92
3/9/2014,0,5021072,TotalLMP,30.84,31.99,,,33.68,34.3,32.25,32.41,35.92,34.71,35.62,37.04,35.61,34.36,29.75,29.01,28.42,27.22,28.07,30.31,40.66,46.75,30.7,38.32,34.85
3/10/2014,0,5021072,CongLMP,-0.05,-0.76,,-0.04,0.33,-0.05,-0.73,-11.64,-172.7,-57.28,-6.93,-5.13,-25.49,-6.89,-1.25,-1.39,-0.91,-0.44,-0.44,-0.29,-44.19,-17.47,-3.38,-0.2,-0.13
3/10/2014,0,5021072,LossLMP,-1.59,-1.48,,-1.41,-1.46,-1.52,-1.88,-3.02,-9.37,-5.62,-2.68,-2.72,-3.7,-3.02,-2.6,-2.28,-2.18,-2.05,-1.98,-1.96,-4.78,-4.13,-2.47,-2.02,-1.64
3/10/2014,0,5021072,TotalLMP,29.99,29.31,,29.9,30.48,31.23,35.23,41.98,-15.38,32.65,36.78,39.84,32.66,39.65,38.55,34.99,34.18,33.58,31.75,31.58,23.67,43.84,33.9,32.38,28.22
11/1/2014,0,5021072,CongLMP,-0.08,-0.23,,-0.23,-0.23,-0.23,-0.22,-0.23,-0.21,-0.19,-0.2,-0.16,-0.2,-0.21,-0.19,-0.17,-0.02,-0.17,-0.23,-0.17,-0.21,-0.2,-0.18,-0.21,-0.22
11/1/2014,0,5021072,LossLMP,-0.23,-0.27,,-0.21,-0.17,-0.16,-0.21,-0.25,-0.58,-1.01,-0.99,-2.46,-1.39,-1.11,-1.05,-0.88,-0.76,-0.75,-0.77,-2.1,-1.03,-1.05,-0.91,-0.91,-0.48
11/1/2014,0,5021072,TotalLMP,27.05,28.31,,28.09,29.7,28.82,28.89,29.06,40.92,42.31,37.44,85.95,50.32,42.84,38.29,32.62,30.04,29.28,31.11,77.35,39.57,43.8,39.39,40.89,34.7
11/2/2014,0,5021072,CongLMP,-0.22,-0.06,1.29,1.36,-0.1,0.14,1.5,1.16,3.93,1.53,-0.1,-0.13,-0.07,-0.14,-0.12,0.23,0.01,0.63,3.34,0.02,2.05,-0.01,-0.04,-0.21,1.04
11/2/2014,0,5021072,LossLMP,-0.27,-0.24,-0.16,-0.15,-0.13,-0.13,-0.11,-0.21,-0.7,-0.83,-1.08,-0.74,-0.68,-0.67,-0.6,-0.52,-0.59,-0.7,-1.78,-1.14,-0.98,-1,-0.82,-0.41,-0.34
11/2/2014,0,5021072,TotalLMP,34.88,37.31,29.04,28.76,27.76,29.08,29.89,32.05,62.27,52.02,42.92,27.02,26.58,26.55,25.18,24.38,24.97,26.79,54.57,36.13,34.21,34,29.61,27.56,27.42
11/3/2014,0,5021072,CongLMP,0,0.32,,0.03,1.49,-0.15,0.09,2.19,0.01,0.14,-0.02,-0.01,-0.08,-0.19,-0.01,-0.11,-0.18,-0.25,-0.25,-0.23,0.03,0.17,0.17,-0.03,-0.19
11/3/2014,0,5021072,LossLMP,-0.34,-0.27,,-0.24,-0.21,-0.25,-0.45,-1.16,-0.7,-0.81,-0.91,-0.69,-0.45,-0.49,-0.41,-0.39,-0.37,-0.43,-0.7,-0.53,-0.5,-0.54,-0.59,-0.73,-0.66
11/3/2014,0,5021072,TotalLMP,28.55,27.38,,26.99,27.56,26.39,37.15,59.03,32.93,35.75,32.54,33.25,31.89,36.8,32.3,29.35,27.92,30.13,52.78,33.69,33.83,32.06,27.61,25.85,22.73
